franchID,franchid
ALT,alt
ANA,ana
ARI,ari
ATH,ath
ATL,atl
BAL,bal
BFB,bfb
BFL,bfl
BLC,blc
BLO,blo
BLT,blt
BLU,blu
BNA,bna
BOS,bos
BRA,bra
BRD,brd
BRG,brg
BRS,brs
BTT,btt
BUF,buf
BWW,bww
CBK,cbk
CBL,cbl
CEN,cen
CFC,cfc
CHC,chc
CHH,chh
CHP,chp
CHW,chw
CIN,cin
CKK,ckk
CLE,cle
CLI,cli
CLS,cls
CLV,clv
CNA,cna
CNR,cnr
COL,col
COR,cor
CPI,cpi
DET,det
DTN,dtn
ECK,eck
FLA,fla
HAR,har
HNA,hna
HOU,hou
IBL,ibl
IHO,iho
IND,ind
KCC,kcc
KCN,kcn
KCP,kcp
KCR,kcr
KCU,kcu
KEK,kek
LAD,lad
LGR,lgr
LOU,lou
MAN,man
MAR,mar
MIL,mil
MIN,min
MLA,mla
MLG,mlg
MLU,mlu
NAT,nat
NEW,new
NHV,nhv
NNA,nna
NYI,nyi
NYM,nym
NYP,nyp
NYU,nyu
NYY,nyy
OAK,oak
OLY,oly
PBB,pbb
PBS,pbs
PHA,pha
PHI,phi
PHK,phk
PHQ,phq
PIT,pit
PNA,pna
PRO,pro
PWS,pws
RES,res
RIC,ric
ROC,roc
ROK,rok
SBS,sbs
SDP,sdp
SEA,sea
SFG,sfg
SLI,sli
SLM,slm
SLR,slr
SNA,sna
STL,stl
STP,stp
SYR,syr
SYS,sys
TBD,tbd
TEX,tex
TLM,tlm
TOL,tol
TOR,tor
TRO,tro
TRT,trt
WAS,was
WBL,wbl
WES,wes
WIL,wil
WNA,wna
WNL,wnl
WNT,wnt
WOR,wor
WSN,wsn
WST,wst
