franchName,FRANCHNAME
Altoona Mountain City,ALTOONA MOUNTAIN CITY
Los Angeles Angels of Anaheim,LOS ANGELES ANGELS OF ANAHEIM
Arizona Diamondbacks,ARIZONA DIAMONDBACKS
Philadelphia Athletics,PHILADELPHIA ATHLETICS
Atlanta Braves,ATLANTA BRAVES
Baltimore Orioles,BALTIMORE ORIOLES
Buffalo Bisons,BUFFALO BISONS
Buffalo Bisons,BUFFALO BISONS
Baltimore Canaries,BALTIMORE CANARIES
Baltimore Orioles,BALTIMORE ORIOLES
Baltimore Terrapins,BALTIMORE TERRAPINS
Baltimore Monumentals,BALTIMORE MONUMENTALS
Boston Red Stockings,BOSTON RED STOCKINGS
Boston Red Sox,BOSTON RED SOX
Brooklyn Atlantics,BROOKLYN ATLANTICS
Boston Reds,BOSTON REDS
Brooklyn Gladiators,BROOKLYN GLADIATORS
Boston Reds,BOSTON REDS
Brooklyn Tip-Tops,BROOKLYN TIP-TOPS
Buffalo Bisons,BUFFALO BISONS
Brooklyn Ward's Wonders,BROOKLYN WARD'S WONDERS
Columbus Buckeyes,COLUMBUS BUCKEYES
Cleveland Blues,CLEVELAND BLUES
Philadelphia Centennials,PHILADELPHIA CENTENNIALS
Cleveland Forest Citys,CLEVELAND FOREST CITYS
Chicago Cubs,CHICAGO CUBS
Chicago Whales,CHICAGO WHALES
Chicago Pirates,CHICAGO PIRATES
Chicago White Sox,CHICAGO WHITE SOX
Cincinnati Reds,CINCINNATI REDS
Cincinnati Kelly's Killers,CINCINNATI KELLY'S KILLERS
Cleveland Indians,CLEVELAND INDIANS
Cleveland Infants,CLEVELAND INFANTS
Columbus Solons,COLUMBUS SOLONS
Cleveland Spiders,CLEVELAND SPIDERS
Chicago White Stockings,CHICAGO WHITE STOCKINGS
Cincinnati Reds,CINCINNATI REDS
Colorado Rockies,COLORADO ROCKIES
Cincinnati Outlaw Reds,CINCINNATI OUTLAW REDS
Chicago/Pittsburgh (Union League),CHICAGO/PITTSBURGH (UNION LEAGUE)
Detroit Tigers,DETROIT TIGERS
Detroit Wolverines,DETROIT WOLVERINES
Brooklyn Eckfords,BROOKLYN ECKFORDS
Florida Marlins,FLORIDA MARLINS
Hartford Dark Blues,HARTFORD DARK BLUES
Hartford Dark Blues,HARTFORD DARK BLUES
Houston Astros,HOUSTON ASTROS
Indianapolis Blues,INDIANAPOLIS BLUES
Indianapolis Hoosiers,INDIANAPOLIS HOOSIERS
Indianapolis Hoosiers,INDIANAPOLIS HOOSIERS
Kansas City Cowboys,KANSAS CITY COWBOYS
Kansas City Cowboys,KANSAS CITY COWBOYS
Kansas City Packers,KANSAS CITY PACKERS
Kansas City Royals,KANSAS CITY ROYALS
Kansas City Cowboys,KANSAS CITY COWBOYS
Fort Wayne Kekiongas,FORT WAYNE KEKIONGAS
Los Angeles Dodgers,LOS ANGELES DODGERS
Louisville Grays,LOUISVILLE GRAYS
Louisville Colonels,LOUISVILLE COLONELS
Middletown Mansfields,MIDDLETOWN MANSFIELDS
Baltimore Marylands,BALTIMORE MARYLANDS
Milwaukee Brewers,MILWAUKEE BREWERS
Minnesota Twins,MINNESOTA TWINS
Milwaukee Brewers,MILWAUKEE BREWERS
Milwaukee Grays,MILWAUKEE GRAYS
Milwaukee Brewers,MILWAUKEE BREWERS
Washington Nationals,WASHINGTON NATIONALS
Newark Pepper,NEWARK PEPPER
New Haven Elm Citys,NEW HAVEN ELM CITYS
New York Mutuals,NEW YORK MUTUALS
New York Giants,NEW YORK GIANTS
New York Mets,NEW YORK METS
New York Metropolitans,NEW YORK METROPOLITANS
New York Mutuals,NEW YORK MUTUALS
New York Yankees,NEW YORK YANKEES
Oakland Athletics,OAKLAND ATHLETICS
Washington Olympics,WASHINGTON OLYMPICS
Pittsburgh Burghers,PITTSBURGH BURGHERS
Pittsburgh Rebels,PITTSBURGH REBELS
Philadelphia Athletics,PHILADELPHIA ATHLETICS
Philadelphia Phillies,PHILADELPHIA PHILLIES
Philadelphia Keystones,PHILADELPHIA KEYSTONES
Philadelphia Athletics,PHILADELPHIA ATHLETICS
Pittsburgh Pirates,PITTSBURGH PIRATES
Philadelphia Athletics,PHILADELPHIA ATHLETICS
Providence Grays,PROVIDENCE GRAYS
Philadelphia White Stockings,PHILADELPHIA WHITE STOCKINGS
Elizabeth Resolutes,ELIZABETH RESOLUTES
Richmond Virginians,RICHMOND VIRGINIANS
Rochester Broncos,ROCHESTER BRONCOS
Rockford Forest Citys,ROCKFORD FOREST CITYS
St. Louis Brown Stockings,ST. LOUIS BROWN STOCKINGS
San Diego Padres,SAN DIEGO PADRES
Seattle Mariners,SEATTLE MARINERS
San Francisco Giants,SAN FRANCISCO GIANTS
St. Louis Terriers,ST. LOUIS TERRIERS
St. Louis Maroons,ST. LOUIS MAROONS
St. Louis Red Stockings,ST. LOUIS RED STOCKINGS
St. Louis Brown Stockings,ST. LOUIS BROWN STOCKINGS
St. Louis Cardinals,ST. LOUIS CARDINALS
St. Paul Apostles,ST. PAUL APOSTLES
Syracuse Stars,SYRACUSE STARS
Syracuse Stars,SYRACUSE STARS
Tampa Bay Rays,TAMPA BAY RAYS
Texas Rangers,TEXAS RANGERS
Toledo Maumees,TOLEDO MAUMEES
Toledo Blue Stockings,TOLEDO BLUE STOCKINGS
Toronto Blue Jays,TORONTO BLUE JAYS
Troy Haymakers,TROY HAYMAKERS
Troy Trojans,TROY TROJANS
Washington Senators,WASHINGTON SENATORS
Washington Blue Legs,WASHINGTON BLUE LEGS
Keokuk Westerns,KEOKUK WESTERNS
Wilmington Quicksteps,WILMINGTON QUICKSTEPS
Washington Nationals,WASHINGTON NATIONALS
Washington Nationals,WASHINGTON NATIONALS
Washington Nationals,WASHINGTON NATIONALS
Worcester Ruby Legs,WORCESTER RUBY LEGS
Washington Nationals,WASHINGTON NATIONALS
Washington Statesmen,WASHINGTON STATESMEN
